variable,coefficient,std_error,t_stat,p_value
Intercept,0.26069481413570283,0.27342943321055163,0.953426304822705,0.3403741188180126
C(country)[T.BE],-0.21012928715547852,0.06045415107907181,-3.4758454697451153,0.0005092456266482003
C(country)[T.DE],-0.29922268979356587,0.09711194602820736,-3.081214021873817,0.0020615840670874684
C(country)[T.ES],0.07361665395064187,0.2081473246014307,0.35367571546550575,0.7235819240410288
C(country)[T.FI],0.08227658924748413,0.15347759287991117,0.5360820931812607,0.5919018153181264
C(country)[T.FR],-0.21155645298765507,0.11426986717670992,-1.8513756794737375,0.06411552541027393
C(country)[T.GR],-0.6985558005411565,0.026132891320320588,-26.73090367149573,2.059056208654248e-157
C(country)[T.IE],0.6398979615859226,0.2765485402972072,2.3138721357857217,0.0206747369768761
C(country)[T.IT],-0.7245633295204064,0.0988497171718454,-7.329948433345423,2.3024130638362974e-13
C(country)[T.NL],1.0060942801838997,0.4962982274756586,2.02719700471476,0.042642269366901596
C(country)[T.PT],0.24706988569077076,0.19242363627924136,1.2839892773475492,0.19914570725932335
C(quarter_str)[T.2003Q3],0.11221903512085352,0.2977630005174506,0.3768736710935879,0.706267488618023
C(quarter_str)[T.2003Q4],-0.20585995276013003,0.08555473602737877,-2.406178340545073,0.01612039303801259
C(quarter_str)[T.2004Q1],0.15233691995355048,0.17484731239613663,0.8712568575741886,0.3836139211144791
C(quarter_str)[T.2004Q2],-0.0019034340708488778,0.1176646852860997,-0.01617676591936408,0.9870933711494618
C(quarter_str)[T.2004Q3],0.6340615646605001,0.4334697231172038,1.4627585984570814,0.14353344548955346
C(quarter_str)[T.2004Q4],0.42390192240406066,0.40144495667247637,1.055940335924823,0.2909954743666312
C(quarter_str)[T.2005Q1],0.2364245152205382,0.18966742390323865,1.2465214656005097,0.21257301363773606
C(quarter_str)[T.2005Q2],0.05695140192522337,0.3629737793022653,0.15690224796595365,0.8753218881832525
C(quarter_str)[T.2005Q3],0.44420665145890753,0.26953159644114627,1.6480689363478858,0.0993385258693773
C(quarter_str)[T.2005Q4],0.3297166976309631,0.26418005822660034,1.248075649026274,0.21200335493389244
C(quarter_str)[T.2006Q1],0.5258702552343788,0.22428530541247402,2.344648724388217,0.019045013254894935
C(quarter_str)[T.2006Q2],0.5389230024051833,0.25500265062194344,2.113401570888644,0.03456641163054491
C(quarter_str)[T.2006Q3],0.6171598669313877,0.4097188177368291,1.5063010050170609,0.13198992026852224
C(quarter_str)[T.2006Q4],0.5038194651584735,0.41039587152258444,1.2276426253736032,0.21958115314200022
C(quarter_str)[T.2007Q1],0.7314465650339701,0.39849550662531924,1.8355202326577404,0.06642864404925991
C(quarter_str)[T.2007Q2],0.6471880576984232,0.42414576324014935,1.5258623656980592,0.12704414496620553
C(quarter_str)[T.2007Q3],0.5876137477192103,0.3720713746937713,1.5793038316985242,0.11426638340115412
C(quarter_str)[T.2007Q4],0.4970244562761642,0.4244863314904557,1.1708844770831908,0.24164521545901962
C(quarter_str)[T.2008Q1],0.672419719341298,0.421537393031824,1.5951603118884723,0.1106763913072905
C(quarter_str)[T.2008Q2],0.5975330623630264,0.30393405718560196,1.9659957422873928,0.04929910243580196
C(quarter_str)[T.2008Q3],0.3017677021381281,0.2459769908537847,1.2268127237864572,0.21989298742526098
C(quarter_str)[T.2008Q4],-0.06703856811280803,0.3120151193944891,-0.21485679361598298,0.8298789718416123
C(quarter_str)[T.2009Q1],0.03377453252794199,0.5156031062471819,0.06550490506888135,0.9477720010457515
C(quarter_str)[T.2009Q2],0.09184636579304029,0.32628500471471644,0.28149122535785887,0.7783336572712605
C(quarter_str)[T.2009Q3],0.22797154448282964,0.34712990693662593,0.6567326523221448,0.5113528352049513
C(quarter_str)[T.2009Q4],-0.06021484502246058,0.2421183093454192,-0.24870008875105268,0.8035927801829241
C(quarter_str)[T.2010Q1],0.13061047906748802,0.1866404316998461,0.6997973476483109,0.48405387141009193
C(quarter_str)[T.2010Q2],0.2453015271495308,0.21178622979358477,1.1582505972584307,0.24676178561130702
