horizon,n_obs,coef_shock_x_lev,std_error,p_value,ci_low_95,ci_high_95,r_squared
1,1023,-1.8186493637485355,0.6176189023701083,0.0032335763372315553,-3.029182412393948,-0.6081163151031233,0.3938064830493817
2,1012,-3.7838531385779177,0.6578491036628865,8.826911088250935e-09,-5.073237381757175,-2.4944688953986605,0.4549331017425453
3,1001,-4.886252343375992,0.8803003976279176,2.8458545222580096e-08,-6.611641122726711,-3.160863564025274,0.49579818922789576
4,990,-5.1794790747216615,1.2284991541442656,2.4856017233553022e-05,-7.587337416844422,-2.771620732598901,0.5178335670562353
5,979,-5.371271906181222,1.6052748425590395,0.0008198229145042912,-8.517610597596939,-2.2249332147655045,0.5259570798857804
6,968,-5.448227657437531,1.78819023677344,0.002313046090952054,-8.953080521513474,-1.9433747933615892,0.5318243842155548
7,957,-3.8985635766182813,1.9415114079927664,0.04464281717183233,-7.7039259362841035,-0.0932012169524592,0.5381168768824488
8,946,-3.7641766493455844,2.0682746696864474,0.06876513475499853,-7.817995001931021,0.2896417032398526,0.5434021250885874
