Time Series Search Export,Search term,Search filters,,Last update of Residential property prices data,Downloaded at,Source,Source URL,Download URL,About Residential property prices
,,REF_AREA_TXT:Reference area,"AT:Austria,BE:Belgium,BG:Bulgaria,HR:Croatia,CY:Cyprus,EE:Estonia,XM:Euro area,FI:Finland,FR:France,DE:Germany,GR:Greece,IE:Ireland,IT:Italy,LV:Latvia,LT:Lithuania,LU:Luxembourg,MT:Malta,NL:Netherlands,PT:Portugal,SK:Slovakia,SI:Slovenia,ES:Spain",2026-05-28,2026-05-28 14:14 CEST,BIS,https://data.bis.org/search?view=card&page_size=50&filter=_CATEGORY%3DRPP%255E_DATAFLOW_ID%3DBIS%2CWS_SPP%2C1.0%255EREF_AREA_TXT%3DAustria%257CBelgium%257CBulgaria%257CCroatia%257CCyprus%257CEstonia%257CEuro%2520area%257CFinland%257CFrance%257CGermany%257CGreece%257CIreland%257CItaly%257CLatvia%257CLithuania%257CLuxembourg%257CMalta%257CNetherlands%257CPortugal%257CSlovakia%257CSlovenia%257CSpain%255EUNIT_MEASURE%3D628%255EVALUE%3D628%257CR&ccId=,https://data.bis.org/search?view=card&page_size=50&filter=_CATEGORY%3DRPP%255E_DATAFLOW_ID%3DBIS%2CWS_SPP%2C1.0%255EREF_AREA_TXT%3DAustria%257CBelgium%257CBulgaria%257CCroatia%257CCyprus%257CEstonia%257CEuro%2520area%257CFinland%257CFrance%257CGermany%257CGreece%257CIreland%257CItaly%257CLatvia%257CLithuania%257CLuxembourg%257CMalta%257CNetherlands%257CPortugal%257CSlovakia%257CSlovenia%257CSpain%255EUNIT_MEASURE%3D628%255EVALUE%3D628%257CR&ccId=&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/RPP
,,UNIT_MEASURE:Unit of measure,"628:Index, 2010 = 100",,,,,,
,,VALUE:Value,"628,R",,,,,,
,,TOPIC:Topic,RPP:Property prices / Residential property prices,,,,,,
,,DATAFLOW_ID:Dataflow Id,"BIS,WS_SPP,1.0:",,,,,,

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,VALUE:Value,UNIT_MEASURE:Unit of measure,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2004-12-31,F:Free,,A:Normal value,89.6419
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2005-03-31,F:Free,,A:Normal value,89.2814
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2005-06-30,F:Free,,A:Normal value,89.8423
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2005-09-30,F:Free,,A:Normal value,89.6269
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2005-12-31,F:Free,,A:Normal value,91.5684
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2006-03-31,F:Free,,A:Normal value,92.3388
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2006-06-30,F:Free,,A:Normal value,92.2863
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2006-09-30,F:Free,,A:Normal value,92.7767
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2006-12-31,F:Free,,A:Normal value,92.3875
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2007-03-31,F:Free,,A:Normal value,94.4685
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2007-06-30,F:Free,,A:Normal value,95.3571
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2007-09-30,F:Free,,A:Normal value,95.7832
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2007-12-31,F:Free,,A:Normal value,93.1338
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2008-03-31,F:Free,,A:Normal value,93.1433
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2008-06-30,F:Free,,A:Normal value,91.1409
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2008-09-30,F:Free,,A:Normal value,92.5826
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2008-12-31,F:Free,,A:Normal value,94.0576
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2009-03-31,F:Free,,A:Normal value,96.2518
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2009-06-30,F:Free,,A:Normal value,96.1505
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2009-09-30,F:Free,,A:Normal value,95.491
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2009-12-31,F:Free,,A:Normal value,95.5922
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2010-03-31,F:Free,,A:Normal value,100.2743
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2010-06-30,F:Free,,A:Normal value,99.4891
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2010-09-30,F:Free,,A:Normal value,99.7202
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2010-12-31,F:Free,,A:Normal value,100.5169
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2011-03-31,F:Free,,A:Normal value,101.9272
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2011-06-30,F:Free,,A:Normal value,97.6322
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2011-09-30,F:Free,,A:Normal value,102.1369
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2011-12-31,F:Free,,A:Normal value,101.9875
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2012-03-31,F:Free,,A:Normal value,110.004
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2012-06-30,F:Free,,A:Normal value,110.3612
