Time Series Search Export,Search term,Search filters,,Last update of Residential property prices data,Downloaded at,Source,Source URL,Download URL,About Residential property prices
,,REF_AREA_TXT:Reference area,"AT:Austria,BE:Belgium,BG:Bulgaria,HR:Croatia,CY:Cyprus,EE:Estonia,XM:Euro area,FI:Finland,FR:France,DE:Germany,GR:Greece,IE:Ireland,IT:Italy,LV:Latvia,LT:Lithuania,LU:Luxembourg,MT:Malta,NL:Netherlands,PT:Portugal,SK:Slovakia,SI:Slovenia,ES:Spain",2026-05-28,2026-05-28 14:14 CEST,BIS,https://data.bis.org/search?view=card&page_size=50&filter=_CATEGORY%3DRPP%255E_DATAFLOW_ID%3DBIS%2CWS_SPP%2C1.0%255EREF_AREA_TXT%3DAustria%257CBelgium%257CBulgaria%257CCroatia%257CCyprus%257CEstonia%257CEuro%2520area%257CFinland%257CFrance%257CGermany%257CGreece%257CIreland%257CItaly%257CLatvia%257CLithuania%257CLuxembourg%257CMalta%257CNetherlands%257CPortugal%257CSlovakia%257CSlovenia%257CSpain%255EUNIT_MEASURE%3D628%255EVALUE%3D628%257CR&ccId=,https://data.bis.org/search?view=card&page_size=50&filter=_CATEGORY%3DRPP%255E_DATAFLOW_ID%3DBIS%2CWS_SPP%2C1.0%255EREF_AREA_TXT%3DAustria%257CBelgium%257CBulgaria%257CCroatia%257CCyprus%257CEstonia%257CEuro%2520area%257CFinland%257CFrance%257CGermany%257CGreece%257CIreland%257CItaly%257CLatvia%257CLithuania%257CLuxembourg%257CMalta%257CNetherlands%257CPortugal%257CSlovakia%257CSlovenia%257CSpain%255EUNIT_MEASURE%3D628%255EVALUE%3D628%257CR&ccId=&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/RPP
,,UNIT_MEASURE:Unit of measure,"628:Index, 2010 = 100",,,,,,
,,VALUE:Value,"628,R",,,,,,
,,TOPIC:Topic,RPP:Property prices / Residential property prices,,,,,,
,,DATAFLOW_ID:Dataflow Id,"BIS,WS_SPP,1.0:",,,,,,

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,VALUE:Value,UNIT_MEASURE:Unit of measure,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1991-09-30,F:Free,,A:Normal value,108.3189
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1991-12-31,F:Free,,A:Normal value,111.9793
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1992-03-31,F:Free,,A:Normal value,117.6322
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1992-06-30,F:Free,,A:Normal value,122.2887
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1992-09-30,F:Free,,A:Normal value,116.4785
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1992-12-31,F:Free,,A:Normal value,118.3286
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1993-03-31,F:Free,,A:Normal value,112.8886
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1993-06-30,F:Free,,A:Normal value,116.6126
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1993-09-30,F:Free,,A:Normal value,113.8097
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1993-12-31,F:Free,,A:Normal value,116.4649
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1994-03-31,F:Free,,A:Normal value,115.2935
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1994-06-30,F:Free,,A:Normal value,112.5801
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1994-09-30,F:Free,,A:Normal value,111.4081
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1994-12-31,F:Free,,A:Normal value,108.9489
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1995-03-31,F:Free,,A:Normal value,109.8643
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1995-06-30,F:Free,,A:Normal value,107.5501
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1995-09-30,F:Free,,A:Normal value,112.4676
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1995-12-31,F:Free,,A:Normal value,104.5597
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1996-03-31,F:Free,,A:Normal value,109.8908
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1996-06-30,F:Free,,A:Normal value,110.5489
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1996-09-30,F:Free,,A:Normal value,105.4895
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1996-12-31,F:Free,,A:Normal value,103.0202
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1997-03-31,F:Free,,A:Normal value,107.083
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1997-06-30,F:Free,,A:Normal value,104.7304
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1997-09-30,F:Free,,A:Normal value,109.4069
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1997-12-31,F:Free,,A:Normal value,105.0843
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1998-03-31,F:Free,,A:Normal value,103.1422
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1998-06-30,F:Free,,A:Normal value,98.8659
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1998-09-30,F:Free,,A:Normal value,101.9975
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1998-12-31,F:Free,,A:Normal value,97.9225
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1999-03-31,F:Free,,A:Normal value,98.1887
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1999-06-30,F:Free,,A:Normal value,98.0992
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1999-09-30,F:Free,,A:Normal value,97.5141
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1999-12-31,F:Free,,A:Normal value,95.833
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2000-03-31,F:Free,,A:Normal value,98.225
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2000-06-30,F:Free,,A:Normal value,95.9308
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2000-09-30,F:Free,,A:Normal value,93.6677
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2000-12-31,F:Free,,A:Normal value,92.7535
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2001-03-31,F:Free,,A:Normal value,96.5043
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2001-06-30,F:Free,,A:Normal value,91.521
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2001-09-30,F:Free,,A:Normal value,94.9971
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2001-12-31,F:Free,,A:Normal value,90.8049
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2002-03-31,F:Free,,A:Normal value,93.2512
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2002-06-30,F:Free,,A:Normal value,90.9862
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2002-09-30,F:Free,,A:Normal value,93.9129
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2002-12-31,F:Free,,A:Normal value,91.1541
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2003-03-31,F:Free,,A:Normal value,92.1509
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2003-06-30,F:Free,,A:Normal value,91.0898
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2003-09-30,F:Free,,A:Normal value,89.9799
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2003-12-31,F:Free,,A:Normal value,92.0972
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2004-03-31,F:Free,,A:Normal value,84.6138
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2004-06-30,F:Free,,A:Normal value,88.3421
"BIS,WS_SPP,1.0",Q.AT.R.628,Q:Quarterly,AT:Austria,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2004-09-30,F:Free,,A:Normal value,88.3771
