variable,coefficient,std_error,t_stat,p_value
Intercept,-1.3318929107529827,0.6882541814390678,-1.9351759083659081,0.05296871304553625
C(country)[T.BE],0.6974137893582104,0.10175682351953673,6.853729953788416,7.194884565473266e-12
C(country)[T.DE],0.8035266302999177,0.163372513832823,4.918370975929012,8.726740826520117e-07
C(country)[T.ES],1.4513456742062802,0.35020200864015794,4.144309965102392,3.408384653892164e-05
C(country)[T.FI],0.7384162112198043,0.2583013926024504,2.8587387926177183,0.004253288523575291
C(country)[T.FR],1.1065505703994893,0.19244383111932303,5.749992420974943,8.924744974327914e-09
C(country)[T.GR],0.01373459081722106,0.04430045168830832,0.31003274896282523,0.7565360524448668
C(country)[T.IE],1.4425282451420394,0.4649355642676665,3.102641217421617,0.001918020142368973
C(country)[T.IT],-0.6896959064174014,0.16664661465506836,-4.138673370863013,3.493198507800435e-05
C(country)[T.NL],2.8644412292079604,0.8352173464034333,3.429575836209172,0.0006045254710257935
C(country)[T.PT],1.3959304738259475,0.3237527461542132,4.311717785896475,1.6199110982502046e-05
C(quarter_str)[T.2003Q3],0.9727713368966235,0.7391356791626931,1.316093058853007,0.18814281040920555
C(quarter_str)[T.2003Q4],0.518961015527205,0.7332736361711835,0.7077317251401263,0.47911187212919526
C(quarter_str)[T.2004Q1],-0.31263282659013575,0.7294123506991742,-0.42860917599004633,0.6682076666739254
C(quarter_str)[T.2004Q2],0.44650414887188333,0.6079743122668587,0.7344128524231117,0.46269715600149075
C(quarter_str)[T.2004Q3],0.7401057271390218,0.8308733734166308,0.8907563424443802,0.37305990106306197
C(quarter_str)[T.2004Q4],0.34382477419952656,0.6394979387346768,0.5376479787875862,0.5908200999469225
C(quarter_str)[T.2005Q1],1.1282563892613198,0.6271515700960009,1.799017084639703,0.07201597822437607
C(quarter_str)[T.2005Q2],0.8674608916438598,0.6859276583876998,1.2646536133021098,0.20599552511576769
C(quarter_str)[T.2005Q3],1.2571162059155412,0.6804013964960748,1.8476096792120464,0.06465882846226624
C(quarter_str)[T.2005Q4],0.9379769933109573,0.6067270200571258,1.5459621251459068,0.12211371519970254
C(quarter_str)[T.2006Q1],0.636824651755274,0.7684794763173922,0.8286814044884876,0.4072847109000882
C(quarter_str)[T.2006Q2],0.6778716928517358,0.4606930360087601,1.4714172775966294,0.1411783037205801
C(quarter_str)[T.2006Q3],1.457517209496617,0.5149079744984691,2.83063631111223,0.004645551131261358
C(quarter_str)[T.2006Q4],0.5885921088818215,0.6224062963300502,0.9456718422554361,0.3443159885900442
C(quarter_str)[T.2007Q1],0.5105448080695996,0.618989551797547,0.8248035957747208,0.4094831049091183
C(quarter_str)[T.2007Q2],-0.34230788279022006,0.7175161756695979,-0.4770734018236909,0.6333098541038423
C(quarter_str)[T.2007Q3],0.7657776875053981,0.7140942146992998,1.0723762659635352,0.2835510638275728
C(quarter_str)[T.2007Q4],-1.2884678295776748,0.6454588295522727,-1.9962045146573175,0.04591166625064692
C(quarter_str)[T.2008Q1],-1.1527606783551076,0.8933980642179333,-1.2903102486171338,0.19694295994004296
C(quarter_str)[T.2008Q2],-1.5488743353127616,0.7385443095435467,-2.0971989294319187,0.035975969237180036
C(quarter_str)[T.2008Q3],-0.5277152513511294,0.7956664611091476,-0.6632367670939678,0.5071789272250385
C(quarter_str)[T.2008Q4],-0.8734866164513372,0.9306984737320639,-0.9385280422226229,0.3479731128231771
C(quarter_str)[T.2009Q1],-0.3424046102950904,0.8538837421786875,-0.4009967556255888,0.6884225125670267
C(quarter_str)[T.2009Q2],-1.1757976112485506,0.7731460555089067,-1.5207962361970628,0.12831097924413837
C(quarter_str)[T.2009Q3],0.11453794620143355,0.5768987342664099,0.19854081730146475,0.8426219527225297
C(quarter_str)[T.2009Q4],0.026128985210107092,0.6033152403499392,0.043309009059594734,0.9654552097710828
C(quarter_str)[T.2010Q1],0.007127498410833336,0.8486738090507636,0.008398395631892304,0.9932991285620406
C(quarter_str)[T.2010Q2],-0.8591082670401055,0.6503840421308842,-1.3209245790000754,0.1865265133592997
C(quarter_str)[T.2010Q3],-0.2612575535503254,0.9051804008126197,-0.28862484573879765,0.772868480154726
C(quarter_str)[T.2010Q4],-0.22701199329907829,0.6311447525330011,-0.3596829291347208,0.719084259411578
C(quarter_str)[T.2011Q1],-0.9258831403577483,1.029203960642323,-0.8996109379329512,0.36832733429662146
C(quarter_str)[T.2011Q2],-1.8946672445171648,0.9465684728298059,-2.001616680569318,0.04532597360295678
C(quarter_str)[T.2011Q3],-0.5591358907627693,1.3482496249852076,-0.414712439299884,0.6783524250417855
C(quarter_str)[T.2011Q4],-2.06483191897902,0.8753743208474386,-2.3587988244618403,0.01833419195351001
C(quarter_str)[T.2012Q1],-1.034943081862556,1.4048771283152517,-0.7366787180197562,0.4613177518993137
C(quarter_str)[T.2012Q2],-1.6935348111991662,0.8996305047734192,-1.8824781976748326,0.05977111737464478
C(quarter_str)[T.2012Q3],-1.0877672507539322,1.1746538008161096,-0.9260322062536115,0.3544292433411258
C(quarter_str)[T.2012Q4],-0.4815339697442275,0.563904656741377,-0.8539279893995856,0.39314489011944564
C(quarter_str)[T.2013Q1],-0.8988184362747145,1.1617583107262557,-0.7736707609286063,0.4391255150667833
