variable,coefficient,std_error,t_stat,p_value
Intercept,-1.0711980966172838,0.7321325579538462,-1.463120421267773,0.14343443089415017
C(country)[T.BE],0.4872845022027317,0.09138397754922295,5.33227503629136,9.698988816403132e-08
C(country)[T.DE],0.5043039405063522,0.14688183075693914,3.433399065816909,0.0005960640854648152
C(country)[T.ES],1.5249623281569213,0.31479030084618886,4.844375204882949,1.2701071783692008e-06
C(country)[T.FI],0.82069280046729,0.2320329923467179,3.5369659812901113,0.0004047517965356704
C(country)[T.FR],0.8949941174118363,0.17263028401294248,5.1844560328982405,2.1664624410856025e-07
C(country)[T.GR],-0.6848212097239353,0.03917011267314723,-17.4832586119521,1.9219496731741294e-68
C(country)[T.IE],2.08242620672796,0.41857461191716616,4.975041838275805,6.523354901235768e-07
C(country)[T.IT],-1.4142592359378063,0.14916176322436184,-9.481379177655246,2.509440858363383e-21
C(country)[T.NL],3.870535509391856,0.7503687606920393,5.15817783488507,2.49364720882503e-07
C(country)[T.PT],1.643000359516717,0.29100541568857646,5.645944270930673,1.64277057755723e-08
C(quarter_str)[T.2003Q3],1.0849903720174898,0.6334247555057457,1.7128954348353504,0.08673177829821463
C(quarter_str)[T.2003Q4],0.31310106276707517,0.7049652293620203,0.44413688750355174,0.6569436185703885
C(quarter_str)[T.2004Q1],-0.1602959066365942,0.7665044818687299,-0.20912585696275965,0.8343499900130189
C(quarter_str)[T.2004Q2],0.44460071480102503,0.6142759282625262,0.7237801358398889,0.4692007263455532
C(quarter_str)[T.2004Q3],1.374167291799525,0.7027865689327047,1.9553123985941003,0.05054620865807998
C(quarter_str)[T.2004Q4],0.7677266966036214,0.7250707876445904,1.0588299924447373,0.2896772117903281
C(quarter_str)[T.2005Q1],1.3646809044818733,0.6083898420043592,2.2431027118827127,0.024890191846465036
C(quarter_str)[T.2005Q2],0.9244122935690648,0.5362749912794336,1.723765434900519,0.08475019687197051
C(quarter_str)[T.2005Q3],1.7013228573744577,0.7203257552011167,2.36187980936409,0.018182536042980972
C(quarter_str)[T.2005Q4],1.2676936909419112,0.7649805794418431,1.6571580050657828,0.09748753441655142
C(quarter_str)[T.2006Q1],1.1626949069896741,0.8196366334916874,1.4185492198372636,0.15603047936490783
C(quarter_str)[T.2006Q2],1.2167946952569186,0.5533257282315623,2.1990567818811053,0.027873885055326602
C(quarter_str)[T.2006Q3],2.0746770764279967,0.6574600407002134,3.155594177584401,0.0016017154744547037
C(quarter_str)[T.2006Q4],1.0924115740403224,0.6950467497454654,1.5717094921174393,0.11601793980484716
C(quarter_str)[T.2007Q1],1.2419913731035486,0.5921676051896211,2.0973646012024654,0.035961312182103126
C(quarter_str)[T.2007Q2],0.3048801749082522,0.5415249473394874,0.5630030091986137,0.5734328348477418
C(quarter_str)[T.2007Q3],1.3533914352245395,0.6401670927617353,2.1141221573665927,0.03450483517720951
C(quarter_str)[T.2007Q4],-0.7914433733014852,0.6027808026971859,-1.312987025731601,0.1891873200864862
C(quarter_str)[T.2008Q1],-0.48034095901380425,0.7633719956887971,-0.629235761498414,0.5291947198055651
C(quarter_str)[T.2008Q2],-0.9513412729497221,0.6269646169458981,-1.5173763355003096,0.12917169516259103
C(quarter_str)[T.2008Q3],-0.225947549212995,0.93731375116592,-0.2410586091710913,0.8095096919936826
C(quarter_str)[T.2008Q4],-0.9405251845641519,0.9599510366612577,-0.9797637052774384,0.3272027717205829
C(quarter_str)[T.2009Q1],-0.30863007776715035,1.0636774268211822,-0.29015382858080996,0.771698556880526
C(quarter_str)[T.2009Q2],-1.083951245455505,0.9649448447684348,-1.1233297440079375,0.2612974758045754
C(quarter_str)[T.2009Q3],0.34250949068425907,0.609301062594511,0.5621350621411909,0.5740240011593863
C(quarter_str)[T.2009Q4],-0.034085859812323815,0.7648042794319861,-0.04456808196423679,0.9644515842710898
C(quarter_str)[T.2010Q1],0.13773797747832722,0.9767187419437485,0.14102112672089984,0.8878532524170741
C(quarter_str)[T.2010Q2],-0.6138067398905891,0.5375576028340999,-1.1418436585297838,0.25351901130871457
