country,quarter,house_price_index
DE,2011Q2,99.9811
DE,2011Q3,100.7473
DE,2011Q4,100.4737
DE,2012Q1,100.6459
DE,2012Q2,101.5315
DE,2012Q3,101.3629
DE,2012Q4,101.7974
DE,2013Q1,102.2659
DE,2013Q2,103.0375
DE,2013Q3,103.319
DE,2013Q4,102.7744
DE,2014Q1,103.3807
DE,2014Q2,105.2256
DE,2014Q3,105.34
DE,2014Q4,105.6013
DE,2015Q1,107.7635
DE,2015Q2,108.7442
DE,2015Q3,109.1101
DE,2015Q4,111.273
DE,2016Q1,114.1153
DE,2016Q2,116.2022
DE,2016Q3,117.7171
DE,2016Q4,119.4624
DE,2017Q1,119.8911
DE,2017Q2,121.2749
DE,2017Q3,122.4409
DE,2017Q4,125.1533
DE,2018Q1,126.2463
DE,2018Q2,127.0859
DE,2018Q3,128.6006
DE,2018Q4,130.3818
DE,2019Q1,131.1792
DE,2019Q2,132.4337
DE,2019Q3,133.4876
DE,2019Q4,137.1975
DE,2020Q1,138.1141
DE,2020Q2,140.0671
DE,2020Q3,145.3409
DE,2020Q4,149.3463
DE,2021Q1,148.7445
DE,2021Q2,152.7808
DE,2021Q3,157.7869
DE,2021Q4,160.595
DE,2022Q1,159.2513
DE,2022Q2,157.8981
DE,2022Q3,154.3602
DE,2022Q4,144.253
DE,2023Q1,137.7979
DE,2023Q2,134.2151
DE,2023Q3,131.237
DE,2023Q4,128.6493
DE,2024Q1,127.4733
DE,2024Q2,127.9643
DE,2024Q3,128.5318
DE,2024Q4,128.1794
DE,2025Q1,129.0376
DE,2025Q2,129.2809
DE,2025Q3,129.6554
DE,2025Q4,129.2697
ES,2002Q1,68.5005
ES,2002Q2,71.1724
ES,2002Q3,73.0203
ES,2002Q4,73.2842
ES,2003Q1,77.1917
ES,2003Q2,81.151
ES,2003Q3,83.4946
ES,2003Q4,84.5637
ES,2004Q1,89.4174
ES,2004Q2,92.3774
ES,2004Q3,94.3994
ES,2004Q4,95.8513
ES,2005Q1,100.2131
ES,2005Q2,101.9429
ES,2005Q3,103.5214
ES,2005Q4,104.3458
ES,2006Q1,105.2598
ES,2006Q2,107.4005
ES,2006Q3,111.2363
ES,2006Q4,113.4086
ES,2007Q1,116.2592
ES,2007Q2,117.0499
ES,2007Q3,118.6858
ES,2007Q4,115.3089
ES,2008Q1,114.5481
ES,2008Q2,111.5931
ES,2008Q3,109.8451
ES,2008Q4,106.6655
ES,2009Q1,105.5601
ES,2009Q2,103.8245
ES,2009Q3,103.3165
ES,2009Q4,101.8545
ES,2010Q1,101.3059
ES,2010Q2,101.2195
ES,2010Q3,99.6126
ES,2010Q4,97.9161
ES,2011Q1,94.4114
ES,2011Q2,91.7021
ES,2011Q3,88.8543
ES,2011Q4,83.1479
ES,2012Q1,79.4663
ES,2012Q2,75.5808
ES,2012Q3,72.5438
ES,2012Q4,70.3733
ES,2013Q1,67.514
ES,2013Q2,66.4184
ES,2013Q3,67.0732
ES,2013Q4,65.8621
ES,2014Q1,66.4245
ES,2014Q2,66.8252
ES,2014Q3,67.483
ES,2014Q4,67.3597
ES,2015Q1,68.1441
ES,2015Q2,69.6881
ES,2015Q3,70.8007
ES,2015Q4,70.4492
ES,2016Q1,72.9028
