country,quarter,house_price_index,rent_index,leverage_ratio,ecb_shock,price_rent_ratio,log_house_price,log_rent,log_price_rent_ratio
AT,2002Q1,93.2512,42.91333333333333,72.37,0.00333087,2.1730122727978873,4.535296927073833,3.75918257795636,0.7761143491174725
AT,2002Q2,90.9862,43.11666666666667,72.68,0.04156148,2.110232701971395,4.510707846665428,3.7639096199639286,0.7467982267014992
AT,2002Q3,93.9129,44.24333333333334,73.78,0.03763491,2.1226452196187746,4.542367756970116,3.7897047009700016,0.7526630560001147
AT,2002Q4,91.1541,45.21333333333333,74.23,0.09370394,2.0160889118254204,4.5125514809139435,3.811392028589328,0.7011594523246157
AT,2003Q1,92.1509,45.63,74.73,0.09542948,2.0195244356782815,4.523427450752892,3.8205653949393112,0.7028620558135803
AT,2003Q2,91.0898,45.75333333333333,74.74,0.07514996,1.9908888241293896,4.511845833123613,3.823264648812379,0.6885811843112343
AT,2003Q3,89.9799,45.85666666666666,74.23,0.00414956,1.962198880569892,4.499586312054329,3.8255205898047944,0.6740657222495348
AT,2003Q4,92.0972,45.89000000000001,73.92,0.04143882,2.006912181303116,4.522844541061877,3.8262472284067424,0.6965973126551346
AT,2004Q1,84.6138,45.84666666666666,74.28,-0.00241803,1.8455823760360626,4.438097373876841,3.82530249522358,0.6127948786532601
AT,2004Q2,88.3421,46.02333333333333,75.68,0.05648209,1.9195067719272834,4.481216777676644,3.8291485142599515,0.6520682634166929
AT,2004Q3,88.3771,47.77666666666666,76.42,0.01864253,1.8497962743319616,4.4816128863106535,3.8665373752670145,0.6150755110436392
AT,2004Q4,89.6419,49.85999999999999,76.15,0.0134245,1.7978720417168075,4.495822844602786,3.9092190780954117,0.5866037665073748
AT,2005Q1,89.2814,49.61666666666667,76.15,-0.01816235,1.7994235807860264,4.49179317951364,3.904326798793676,0.5874663807199638
AT,2005Q2,89.8423,48.34,76.55,0.00798641,1.858549855192387,4.498055911171052,3.878259375275337,0.6197965358957152
AT,2005Q3,89.6269,48.7,77.3,-0.02394718,1.840388090349076,4.495655498137199,3.885679030088544,0.6099764680486552
AT,2005Q4,91.5684,49.29,82.08,-0.06233713,1.8577480219111382,4.51708623399549,3.8977212207172864,0.619365013278203
AT,2006Q1,92.3388,49.50333333333333,82.91,0.00109681,1.8653046932866475,4.525464421542809,3.902040007374744,0.6234244141680653
AT,2006Q2,92.2863,50.1,83.77,-0.09556971,1.8420419161676647,4.524895701456374,3.914021008090819,0.6108746933655549
AT,2006Q3,92.7767,50.27666666666666,84.35,0.02913577,1.845323211562687,4.530195530680694,3.917541086112051,0.6126544445686429
AT,2006Q4,92.3875,50.50666666666666,83.13,0.01058187,1.8292139651531154,4.525991688111005,3.9221053407696584,0.6038863473413469
AT,2007Q1,94.4685,50.82666666666668,84.04,-0.0274856099999999,1.8586404774396639,4.548266445598459,3.9284211512377825,0.6198452943606769
AT,2007Q2,95.3571,51.04999999999999,82.73,0.01080658,1.867915768854065,4.557628791780788,3.9328055446106744,0.6248232471701137
AT,2007Q3,95.7832,51.23666666666666,82.48,-0.0322175799999999,1.8694268427558391,4.562087304254047,3.936455421568731,0.6256318826853163
AT,2007Q4,93.1338,51.19,82.8,0.02471865,1.819374877905841,4.534037168879492,3.935544200469492,0.5984929684100003
AT,2008Q1,93.1433,51.373333333333335,82.51,0.03576784,1.8130670905787696,4.534139167461263,3.939119231089847,0.5950199363714163
AT,2008Q2,91.1409,51.41666666666666,81.72,0.09407425,1.7725944894651544,4.512406660704689,3.9399623741173873,0.5724442865873016
AT,2008Q3,92.5826,51.76666666666667,82.63,-0.0660172899999999,1.7884597553122985,4.528101219028181,3.946746441486532,0.581354777541649
AT,2008Q4,94.0576,52.34333333333333,83.65,0.21300303,1.7969356173979496,4.5439073605630504,3.9578245812287527,0.5860827793342978
AT,2009Q1,96.2518,53.13666666666666,82.95,-0.01359035,1.8114007904146543,4.566967674291728,3.9728672109774457,0.5941004633142823
AT,2009Q2,96.1505,53.71333333333333,82.7,0.05999923,1.7900676430433162,4.565914672229276,3.9836612636809403,0.5822534085483357
