dependent_variable,n_obs,period_start,period_end,coef_shock_x_mortgage_lev,std_error,p_value,r_squared
dlog_house_price,990,2003Q2,2025Q3,-2.440856478415859,0.9568024138747631,0.010739708727863572,0.40462654413709065
dlog_rent,990,2003Q2,2025Q3,-1.5461864073951352,0.6956023055345743,0.02622913367055886,0.20404616865961156
dlog_price_rent_ratio,990,2003Q2,2025Q3,-0.8946700710207178,0.7258002279183702,0.21769998671974455,0.3405486834809971
