variable,coefficient,std_error,t_stat,p_value
Intercept,-1.2469244066360967,0.6485809055529086,-1.9225425786673545,0.05453752134090674
C(country)[T.BE],0.6381405213816238,0.06080804974583537,10.494342838635914,9.171366439642535e-26
C(country)[T.DE],0.43931361006578207,0.04838633792827983,9.079290330195072,1.092850642094951e-19
C(country)[T.ES],1.0404607223036104,0.20259995971476513,5.135542592251481,2.813311534388764e-07
C(country)[T.FI],0.493337777995685,0.16941766850646148,2.911961794450438,0.0035916656308574504
C(country)[T.FR],0.6455584425589287,0.021325206507327915,30.2720839930482,2.6723639734169998e-201
C(country)[T.GR],0.012632478898156274,0.07635386819402586,0.16544648224049865,0.8685925702037607
C(country)[T.IE],1.8213290918256464,0.5926968342029667,3.072952286433066,0.0021195237377920812
C(country)[T.IT],-0.7130901181689508,0.22512024341327966,-3.1675966024070417,0.0015370463475765839
C(country)[T.NL],3.600365434496691,1.1607585890806584,3.101734907125042,0.001923901603917787
C(country)[T.PT],0.9565088478082832,0.2127385242482814,4.496171303190801,6.918800194824434e-06
C(quarter_str)[T.2002Q3],0.6826691129508478,0.6575141602330891,1.0382576592857578,0.2991501151570878
C(quarter_str)[T.2002Q4],-0.890366777490933,0.602663759761695,-1.4773856285020381,0.1395722963157669
C(quarter_str)[T.2003Q1],0.10592565855929564,0.4674876548786162,0.2265849321449983,0.8207465099887898
C(quarter_str)[T.2003Q2],-0.007222117582164116,0.625432018023838,-0.011547406231269805,0.9907867076052521
C(quarter_str)[T.2003Q3],0.949579291368038,0.716326086082743,1.3256243348065813,0.18496416156618478
C(quarter_str)[T.2003Q4],0.5045618082348531,0.9266537769216826,0.5444987338323846,0.5860983194726803
C(quarter_str)[T.2004Q1],-0.33387436537322257,0.7165752583314747,-0.4659306353259246,0.6412651518517638
C(quarter_str)[T.2004Q2],0.43674042375985833,0.9038876831457745,0.4831799701483741,0.6289679560118586
C(quarter_str)[T.2004Q3],0.7174662580348572,0.7516716624423123,0.9544942211918489,0.33983353307455555
C(quarter_str)[T.2004Q4],0.3050590929825536,0.686258237949523,0.44452521822403523,0.656662900474307
C(quarter_str)[T.2005Q1],1.089209447670257,0.3469461272830717,3.1394195294809446,0.0016928290127519873
C(quarter_str)[T.2005Q2],0.8255421883026342,0.720743775868437,1.1454031459486747,0.2520421957533727
C(quarter_str)[T.2005Q3],1.192618364541986,0.4925175269139954,2.4214739564999155,0.015457708619868674
C(quarter_str)[T.2005Q4],0.8613085929337962,0.612865704060984,1.4053790042852368,0.15990860667166218
C(quarter_str)[T.2006Q1],0.5682267998960748,0.5008117892164642,1.1346114690811961,0.2565381455541974
C(quarter_str)[T.2006Q2],0.6009306520545387,0.4263064646049024,1.4096212512551896,0.15865154856778063
C(quarter_str)[T.2006Q3],1.38832689707461,0.5841153947712996,2.3768024426375303,0.017463438422595626
C(quarter_str)[T.2006Q4],0.5289032870375143,0.45091030194880033,1.1729678491523352,0.240808698916534
C(quarter_str)[T.2007Q1],0.47672411964379763,0.7403991301459487,0.6438744998928145,0.519656818723798
C(quarter_str)[T.2007Q2],-0.3698048815209313,0.7085858761961606,-0.5218914092757851,0.6017459400122944
C(quarter_str)[T.2007Q3],0.7480952479686541,0.6459391955763495,1.1581511899137105,0.246802343081851
C(quarter_str)[T.2007Q4],-1.3053690970097507,0.681487707899614,-1.9154697610511224,0.05543262193682046
C(quarter_str)[T.2008Q1],-1.1642531670643683,0.7633519995753145,-1.525185193347358,0.12721291264581872
C(quarter_str)[T.2008Q2],-1.567331292083583,0.778145874525717,-2.0141869839493496,0.04398990572493306
C(quarter_str)[T.2008Q3],-0.47504427141700023,0.6728373626010888,-0.7060313499543931,0.48016864178150076
C(quarter_str)[T.2008Q4],-0.8524492469851068,1.0523757250316423,-0.8100236699772563,0.41792657184310444
C(quarter_str)[T.2009Q1],-0.21936597089201051,1.105410356973489,-0.19844754439664758,0.8426949219881446
C(quarter_str)[T.2009Q2],-1.0361584792534893,0.773983716156459,-1.3387342105838727,0.18065721495539044
C(quarter_str)[T.2009Q3],0.2738540215215846,0.7417364128747531,0.3692066572007792,0.7119736941557224
C(quarter_str)[T.2009Q4],0.1952463757295816,0.7425546633959756,0.2629387240484735,0.7925978086605119
C(quarter_str)[T.2010Q1],0.18566755742299412,1.057782756597397,0.17552522601165932,0.8606669509688409
C(quarter_str)[T.2010Q2],-0.6941013072809544,0.9918522045822715,-0.699803160263461,0.4840502408786832
C(quarter_str)[T.2010Q3],-0.06347043454062959,0.9692789227283086,-0.06548211567623298,0.9477901453943524
C(quarter_str)[T.2010Q4],-0.03638023470688334,0.7860639710241532,-0.046281519123035214,0.9630858691270195
C(quarter_str)[T.2011Q1],-0.7233704749003784,0.8733545903671218,-0.8282666432156768,0.4075195092709408
C(quarter_str)[T.2011Q2],-1.717829093496027,0.8546156987623749,-2.0100603066193705,0.044424806486251536
C(quarter_str)[T.2011Q3],-0.3959444300161402,1.2524510680923415,-0.31613564801315475,0.7518995499824723
C(quarter_str)[T.2011Q4],-1.912398547119523,0.9364994043025259,-2.0420712905245413,0.04114446022152917
C(quarter_str)[T.2012Q1],-0.7903172543963772,1.414823352389572,-0.5585978299422097,0.5764362213622964
C(quarter_str)[T.2012Q2],-1.4753504472081955,0.8818842770899755,-1.6729524332563543,0.0943366604620084
C(quarter_str)[T.2012Q3],-0.8932858294191179,1.1608350649111594,-0.769520026074921,0.4415846607908366
C(quarter_str)[T.2012Q4],-0.30026432891429156,0.8271717477712167,-0.3630011901679942,0.7166039952606339
C(quarter_str)[T.2013Q1],-0.7490383052268859,0.9190937094177533,-0.8149749014182703,0.4150866768500989
C(quarter_str)[T.2013Q2],-0.4880727252444532,0.7679898226774612,-0.6355197827269035,0.5250894686034725
C(quarter_str)[T.2013Q3],0.7764099881992689,0.9044311056737275,0.858451222352538,0.39064335374614256
C(quarter_str)[T.2013Q4],0.5322084486514059,0.7461174710463561,0.7133038285580368,0.47565776889634004
C(quarter_str)[T.2014Q1],0.2891984084205992,0.6501635519640143,0.44480870628165564,0.6564580020657081
C(quarter_str)[T.2014Q2],0.7152225661804926,0.8062442896886808,0.8871040394675728,0.3750228894704668
C(quarter_str)[T.2014Q3],0.6604131891281974,0.8919220005358361,0.7404382768128197,0.4590341004817583
C(quarter_str)[T.2014Q4],0.6988550499203895,0.5675627267130858,1.2313265424733828,0.21820075856870347
C(quarter_str)[T.2015Q1],0.8606238384066585,0.827973478583697,1.0394340648190956,0.2986029081346333
C(quarter_str)[T.2015Q2],0.4099863219356983,0.8178582233844032,0.501292657105191,0.6161651722936685
C(quarter_str)[T.2015Q3],1.292473199574423,0.5532115231621181,2.3363092514536525,0.01947512969918414
C(quarter_str)[T.2015Q4],0.9035470270184234,0.8530230812055225,1.0592292833876178,0.28949537180615836
C(quarter_str)[T.2016Q1],1.7824396455960045,0.8319117398806987,2.1425826324456216,0.032146626963182885
C(quarter_str)[T.2016Q2],0.37070783806018837,0.7703724545824442,0.4812059879024604,0.6303701055384066
C(quarter_str)[T.2016Q3],1.2562933952142226,0.5191767836877498,2.419779610117927,0.015529916165220042
C(quarter_str)[T.2016Q4],0.28458174293975647,0.6395567252522902,0.4449671650743655,0.6563434830843311
C(quarter_str)[T.2017Q1],0.906017682715305,0.700759041515607,1.2929090158519583,0.19604252889691565
C(quarter_str)[T.2017Q2],1.0804938196800424,0.6791990217142928,1.590835359204265,0.11164663306284822
C(quarter_str)[T.2017Q3],1.9620591732190036,0.6729585546101183,2.915572080595263,0.0035503708490005046
C(quarter_str)[T.2017Q4],0.6540937432828731,0.6357187219814063,1.0289043261840638,0.3035246352609403
