horizon,n_obs,coef_shock_x_lev,std_error,p_value,ci_low_95,ci_high_95,r_squared
1,1023,-1.3089699814363416,1.2388618295278635,0.29069839216117077,-3.7371391673109544,1.119199204438271,0.18671826609423425
2,1012,-2.573559634849567,2.874449910683535,0.37061472439713505,-8.207481459789296,3.060362190090162,0.21510576445167884
3,1001,-3.2245575615836364,4.316617370316343,0.4550573539982351,-11.685127607403668,5.236012484236395,0.2489737233060212
4,990,-4.912261862826039,4.819231242248596,0.30805864779849035,-14.357955097633287,4.533431371981209,0.27694683917175555
5,979,-5.692103386078615,5.650996893386095,0.31380302355413703,-16.768057297115362,5.383850524958132,0.2890101701293979
6,968,-5.872427403538319,6.016680835774434,0.32905236466208243,-17.66512184165621,5.92026703457957,0.30007634288325324
7,957,-5.775584394871464,6.654772965610001,0.38545673520736323,-18.818939407467067,7.267770617724139,0.3159068981709975
8,946,-6.891200617046624,6.8089070014753155,0.31149685381285297,-20.23665833993824,6.454257105844994,0.3329771381352249
