variable,coefficient,std_error,t_stat,p_value
Intercept,-0.727422957487277,0.6711007781615956,-1.0839250693166675,0.27839802324608753
C(country)[T.BE],0.3156034759907549,0.05632913878824646,5.602845752305521,2.1086085870188795e-08
C(country)[T.DE],-0.07633744061414671,0.04411602378124831,-1.7303789886565941,0.08356258531976084
C(country)[T.ES],0.810616947033822,0.18695981552987265,4.335781701198249,1.4524303331841423e-05
C(country)[T.FI],0.34605764666701494,0.1564328897168742,2.212179595309785,0.02695425814219445
C(country)[T.FR],0.16207324121023364,0.020008150464609138,8.100360975239186,5.47963511736276e-16
C(country)[T.GR],-0.6858743079813718,0.06933421149057266,-9.892292610475996,4.496112576878385e-23
C(country)[T.IE],2.3207048434843465,0.5465915698264644,4.245775038610895,2.1783911008828977e-05
C(country)[T.IT],-1.4411622400679205,0.20660135842274768,-6.975570011108129,3.0463312768137954e-12
C(country)[T.NL],4.552531808436889,1.0683108289275822,4.261429993185525,2.031229851051887e-05
C(country)[T.PT],0.9228802042746083,0.19594517513249912,4.7098899151283105,2.478506247711408e-06
C(quarter_str)[T.2002Q3],0.8725668289885428,0.7597239246275823,1.148531460841221,0.25074923303611596
C(quarter_str)[T.2002Q4],-0.9158459475649774,0.5809937080173669,-1.5763440032600167,0.11494654581902412
C(quarter_str)[T.2003Q1],0.24216640935209377,0.5361847115848335,0.4516473597994018,0.6515230460331126
C(quarter_str)[T.2003Q2],-0.0718009721002848,0.6174121867501253,-0.11629341571345364,0.9074200037070587
C(quarter_str)[T.2003Q3],0.9975113576250508,0.5869505645506452,1.6994810429882128,0.0892285834409078
C(quarter_str)[T.2003Q4],0.23011008797995075,0.8629520211913847,0.2666545559071321,0.7897351463944633
C(quarter_str)[T.2004Q1],-0.2514487327480377,0.7388603589247155,-0.34031969601668466,0.7336157861546498
C(quarter_str)[T.2004Q2],0.3598494772336581,0.8541767744000724,0.4212822076395099,0.6735490209444864
C(quarter_str)[T.2004Q3],1.2705670770006985,0.6408152652027359,1.9827353466661362,0.047396999155143296
C(quarter_str)[T.2004Q4],0.6362981735711939,0.7983506241168721,0.7970159405525121,0.4254417735416318
C(quarter_str)[T.2005Q1],1.231908471605588,0.2956585748681931,4.16665903282116,3.090962836574315e-05
C(quarter_str)[T.2005Q2],0.7815955427480206,0.5099616159972354,1.5326556317765252,0.12536072651623403
C(quarter_str)[T.2005Q3],1.523990305080612,0.5628569910233193,2.7075977191113414,0.006777211575989589
C(quarter_str)[T.2005Q4],1.0726493427970945,0.7401438322894378,1.4492444522291559,0.1472693275604263
C(quarter_str)[T.2006Q1],0.9649102838408933,0.5714271932863156,1.688597069193768,0.09129667272042202
C(quarter_str)[T.2006Q2],1.0124867197625296,0.4741509573800351,2.135367869669859,0.032730973055146585
C(quarter_str)[T.2006Q3],1.8641774771832855,0.6517341028183442,2.8603344049695707,0.0042319450183181985
C(quarter_str)[T.2006Q4],0.8927779952974162,0.5037782844383314,1.772164507433633,0.07636725340267675
C(quarter_str)[T.2007Q1],1.075512212635026,0.7208408467838391,1.4920245119760027,0.13569271954402837
C(quarter_str)[T.2007Q2],0.1433874185510846,0.5880925639022008,0.24381777181411496,0.8073719557177335
C(quarter_str)[T.2007Q3],1.2024131514819127,0.5811912160729743,2.0688770205552074,0.03855762846934136
C(quarter_str)[T.2007Q4],-0.9431232079186783,0.6377934117308767,-1.47872836340404,0.1392129285507071
C(quarter_str)[T.2008Q1],-0.6253806099413005,0.6349955834581489,-0.9848582041083093,0.32469372597321944
C(quarter_str)[T.2008Q2],-1.1049586943244698,0.6920396205080721,-1.5966697015313176,0.110339352837358
C(quarter_str)[T.2008Q3],-0.28894499292019593,0.7365131282643326,-0.3923147895559227,0.6948256372862337
C(quarter_str)[T.2008Q4],-1.0222267276483183,1.0283192202677118,-0.994075290533024,0.320186213998219
C(quarter_str)[T.2009Q1],-0.2671613048269075,1.1728552393659915,-0.2277871094913013,0.8198117484172108
C(quarter_str)[T.2009Q2],-1.0040004308763852,0.8714486664645829,-1.1521050745875339,0.24927789811470813
C(quarter_str)[T.2009Q3],0.43746634950950153,0.7070030142135765,0.6187616470010531,0.5360733916815743
C(quarter_str)[T.2009Q4],0.051546927286347466,0.7825383698063655,0.06587143745948515,0.9474801807843894
C(quarter_str)[T.2010Q1],0.25456449100317535,1.107848624302252,0.2297827387415007,0.8182605983516333
C(quarter_str)[T.2010Q2],-0.5173729822575794,0.900613753093521,-0.5744671125445879,0.5656517492677757
C(quarter_str)[T.2010Q3],0.46115196803022795,0.7742619837203272,0.5956019767551982,0.5514411557946345
C(quarter_str)[T.2010Q4],-0.5764071396841287,0.805349567586429,-0.715722914474986,0.4741624588151335
C(quarter_str)[T.2011Q1],-0.4862969526062795,0.8980649736228192,-0.5414941756881397,0.588167011060331
C(quarter_str)[T.2011Q2],-1.49207233781142,0.7871589615740142,-1.8955159131109314,0.05802408555604513
C(quarter_str)[T.2011Q3],0.09377036818028395,1.1688615093494614,0.08022367699700587,0.9360593593288188
C(quarter_str)[T.2011Q4],-2.0754120879304603,1.0669638314890166,-1.945156927235377,0.05175609410642541
C(quarter_str)[T.2012Q1],-0.5861588895232053,1.485736392468099,-0.39452415145427017,0.693194099861528
C(quarter_str)[T.2012Q2],-1.1754998487918806,0.9742328287974863,-1.2065902667669512,0.22758997700202432
C(quarter_str)[T.2012Q3],-0.402880445551326,1.026682607848556,-0.39240992539610076,0.6947553535584261
C(quarter_str)[T.2012Q4],-0.5647172028680078,1.033800891769351,-0.5462533524240764,0.5848917966170504
C(quarter_str)[T.2013Q1],-0.7468596302643595,1.0040283944919282,-0.7438630564251077,0.4569593274929694
C(quarter_str)[T.2013Q2],-0.37452931296441194,0.8579852543967997,-0.4365218528466693,0.6624581476496483
C(quarter_str)[T.2013Q3],1.2790632636655852,0.8894848298541361,1.43798210012793,0.15043913303546644
C(quarter_str)[T.2013Q4],0.05114320109660553,1.0309975448200408,0.049605550811988114,0.9604367231715878
C(quarter_str)[T.2014Q1],0.6918005971583007,0.9680611143073776,0.7146249208173865,0.4748408415282487
C(quarter_str)[T.2014Q2],0.8581120964116278,0.9636636810288296,0.8904684417446214,0.3732144064647862
C(quarter_str)[T.2014Q3],1.2706884599532153,0.8942063295404106,1.4210237816212985,0.15530984588738966
C(quarter_str)[T.2014Q4],0.39104762424593303,0.8289201167399327,0.4717555001365967,0.6371013172705402
C(quarter_str)[T.2015Q1],1.0399345397590194,0.9192538579109071,1.1312811263282276,0.25793678557275335
C(quarter_str)[T.2015Q2],0.4239269588215859,0.8378542489358425,0.5059674273419451,0.6128795161465859
C(quarter_str)[T.2015Q3],1.470028451534396,0.6721201931970736,2.187151147091583,0.02873149186137614
C(quarter_str)[T.2015Q4],0.789962500823886,0.9539870039796584,0.8280642163137163,0.407634133419294
C(quarter_str)[T.2016Q1],1.8557887601121377,0.8611309789123681,2.1550598057174177,0.03115715452346572
C(quarter_str)[T.2016Q2],0.5227929979224823,0.7886836098691132,0.6628678362027112,0.5074152027982113
